"id","batch_id","room_code","room_id","room_title","kind","tool","name","acquisition_phase","acquisition_lane","priority_order","blocking_rule","source_status","content_status","source_path","source_directory","dropzone_readme","runtime_path","placement_target","runtime_policy","review_gate","handoff_check"
"mudflats_meshy_source_model_bollard_silhouettes","R01_A_meshy_helper_geometry","R01","mudflats","Mudflats","meshy_source_model","Meshy","bollard silhouettes","generate_now","A_meshy_helper_geometry","10","can_acquire_before_human_review","ready_to_generate","missing","art/src/backgrounds/act_i/source_models/mudflats/bollard_silhouettes.glb","art/src/backgrounds/act_i/source_models/mudflats","art/src/backgrounds/act_i/source_models/mudflats/README.md","","art/src/backgrounds/act_i/blockouts/mudflats.blend","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","import into the room Blender blockout as helper geometry only"
"mudflats_meshy_source_model_distant_leviathan_ribs","R01_A_meshy_helper_geometry","R01","mudflats","Mudflats","meshy_source_model","Meshy","distant leviathan ribs","generate_now","A_meshy_helper_geometry","10","can_acquire_before_human_review","ready_to_generate","missing","art/src/backgrounds/act_i/source_models/mudflats/distant_leviathan_ribs.glb","art/src/backgrounds/act_i/source_models/mudflats","art/src/backgrounds/act_i/source_models/mudflats/README.md","","art/src/backgrounds/act_i/blockouts/mudflats.blend","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","import into the room Blender blockout as helper geometry only"
"mudflats_meshy_source_model_mud_ridge_reference_forms","R01_A_meshy_helper_geometry","R01","mudflats","Mudflats","meshy_source_model","Meshy","mud ridge reference forms","generate_now","A_meshy_helper_geometry","10","can_acquire_before_human_review","ready_to_generate","missing","art/src/backgrounds/act_i/source_models/mudflats/mud_ridge_reference_forms.glb","art/src/backgrounds/act_i/source_models/mudflats","art/src/backgrounds/act_i/source_models/mudflats/README.md","","art/src/backgrounds/act_i/blockouts/mudflats.blend","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","import into the room Blender blockout as helper geometry only"
"mudflats_generated_reference_cold_horizon_wash","R01_B_reference_board","R01","mudflats","Mudflats","generated_reference","imagegen","cold horizon wash","generate_now","B_reference_board","20","can_acquire_before_human_review","ready_to_generate","missing","docs/art/reference/act_i/mudflats/cold_horizon_wash.png","docs/art/reference/act_i/mudflats","docs/art/reference/act_i/mudflats/README.md","","docs/art/reference/act_i/mudflats","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","review as mood or texture reference only, never as a final room plate"
"mudflats_generated_reference_dawn_haze","R01_B_reference_board","R01","mudflats","Mudflats","generated_reference","imagegen","dawn haze","generate_now","B_reference_board","20","can_acquire_before_human_review","ready_to_generate","missing","docs/art/reference/act_i/mudflats/dawn_haze.png","docs/art/reference/act_i/mudflats","docs/art/reference/act_i/mudflats/README.md","","docs/art/reference/act_i/mudflats","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","review as mood or texture reference only, never as a final room plate"
"mudflats_generated_reference_wet_silt_texture","R01_B_reference_board","R01","mudflats","Mudflats","generated_reference","imagegen","wet silt texture","generate_now","B_reference_board","20","can_acquire_before_human_review","ready_to_generate","missing","docs/art/reference/act_i/mudflats/wet_silt_texture.png","docs/art/reference/act_i/mudflats","docs/art/reference/act_i/mudflats/README.md","","docs/art/reference/act_i/mudflats","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","review as mood or texture reference only, never as a final room plate"
"mudflats_interactive_layer_road_to_the_salt_market","R01_C_interactive_runtime_layer","R01","mudflats","Mudflats","interactive_layer","paintover","road to the Salt Market","hold_for_room_approval","C_interactive_runtime_layer","30","requires_human_room_review_before_source_psd","held_pending_room_review","missing","art/src/backgrounds/act_i/interactive_layers/mudflats/saltmarketexit.psd","art/src/backgrounds/act_i/interactive_layers/mudflats","art/src/backgrounds/act_i/interactive_layers/mudflats/README.md","game/rooms/mudflats/props/saltmarketexit.png","game/rooms/mudflats/props/saltmarketexit.png","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export separate PNG and verify hotspot alignment in Godot"
"old_quay_meshy_source_model_bollard_row","R02_A_meshy_helper_geometry","R02","old_quay","The Old Quay","meshy_source_model","Meshy","bollard row","generate_now","A_meshy_helper_geometry","10","can_acquire_before_human_review","ready_to_generate","missing","art/src/backgrounds/act_i/source_models/old_quay/bollard_row.glb","art/src/backgrounds/act_i/source_models/old_quay","art/src/backgrounds/act_i/source_models/old_quay/README.md","","art/src/backgrounds/act_i/blockouts/old_quay.blend","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","import into the room Blender blockout as helper geometry only"
"old_quay_meshy_source_model_dock_pilings","R02_A_meshy_helper_geometry","R02","old_quay","The Old Quay","meshy_source_model","Meshy","dock pilings","generate_now","A_meshy_helper_geometry","10","can_acquire_before_human_review","ready_to_generate","missing","art/src/backgrounds/act_i/source_models/old_quay/dock_pilings.glb","art/src/backgrounds/act_i/source_models/old_quay","art/src/backgrounds/act_i/source_models/old_quay/README.md","","art/src/backgrounds/act_i/blockouts/old_quay.blend","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","import into the room Blender blockout as helper geometry only"
"old_quay_meshy_source_model_harbor_rail_fragments","R02_A_meshy_helper_geometry","R02","old_quay","The Old Quay","meshy_source_model","Meshy","harbor rail fragments","generate_now","A_meshy_helper_geometry","10","can_acquire_before_human_review","ready_to_generate","missing","art/src/backgrounds/act_i/source_models/old_quay/harbor_rail_fragments.glb","art/src/backgrounds/act_i/source_models/old_quay","art/src/backgrounds/act_i/source_models/old_quay/README.md","","art/src/backgrounds/act_i/blockouts/old_quay.blend","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","import into the room Blender blockout as helper geometry only"
