"id","room_code","room_id","kind","name","tool","status","source_path","runtime_path","prompt","negative_prompt","output_contract"
"mudflats_meshy_source_model_distant_leviathan_ribs","R01","mudflats","meshy_source_model","distant leviathan ribs","Meshy","pending","art/src/backgrounds/act_i/source_models/mudflats/distant_leviathan_ribs.glb","","Create a single reusable 3D source prop for Mudflats on Isla Mordida: distant leviathan ribs. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/mudflats/distant_leviathan_ribs.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
"mudflats_meshy_source_model_bollard_silhouettes","R01","mudflats","meshy_source_model","bollard silhouettes","Meshy","pending","art/src/backgrounds/act_i/source_models/mudflats/bollard_silhouettes.glb","","Create a single reusable 3D source prop for Mudflats on Isla Mordida: bollard silhouettes. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/mudflats/bollard_silhouettes.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
"mudflats_meshy_source_model_mud_ridge_reference_forms","R01","mudflats","meshy_source_model","mud ridge reference forms","Meshy","pending","art/src/backgrounds/act_i/source_models/mudflats/mud_ridge_reference_forms.glb","","Create a single reusable 3D source prop for Mudflats on Isla Mordida: mud ridge reference forms. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/mudflats/mud_ridge_reference_forms.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
"mudflats_generated_reference_wet_silt_texture","R01","mudflats","generated_reference","wet silt texture","imagegen","pending","docs/art/reference/act_i/mudflats/wet_silt_texture.png","","Reference image only for Mudflats on Isla Mordida: wet silt texture. Produce a mood/texture/silhouette reference board for an ink-and-wash noir point-and-click background. Keep it non-final and non-layout-authoritative. Emphasize material, edge breakup, lighting feel, and palette-safe dressing ideas. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","finished game background, full room plate, new hotspot layout, text UI, readable signage that must become canon, explicit sexual content, arterial red, photorealism","Save reference image to docs/art/reference/act_i/mudflats/wet_silt_texture.png. Use only as paintover reference; do not import directly as a final background plate."
"mudflats_generated_reference_cold_horizon_wash","R01","mudflats","generated_reference","cold horizon wash","imagegen","pending","docs/art/reference/act_i/mudflats/cold_horizon_wash.png","","Reference image only for Mudflats on Isla Mordida: cold horizon wash. Produce a mood/texture/silhouette reference board for an ink-and-wash noir point-and-click background. Keep it non-final and non-layout-authoritative. Emphasize material, edge breakup, lighting feel, and palette-safe dressing ideas. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","finished game background, full room plate, new hotspot layout, text UI, readable signage that must become canon, explicit sexual content, arterial red, photorealism","Save reference image to docs/art/reference/act_i/mudflats/cold_horizon_wash.png. Use only as paintover reference; do not import directly as a final background plate."
"mudflats_generated_reference_dawn_haze","R01","mudflats","generated_reference","dawn haze","imagegen","pending","docs/art/reference/act_i/mudflats/dawn_haze.png","","Reference image only for Mudflats on Isla Mordida: dawn haze. Produce a mood/texture/silhouette reference board for an ink-and-wash noir point-and-click background. Keep it non-final and non-layout-authoritative. Emphasize material, edge breakup, lighting feel, and palette-safe dressing ideas. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","finished game background, full room plate, new hotspot layout, text UI, readable signage that must become canon, explicit sexual content, arterial red, photorealism","Save reference image to docs/art/reference/act_i/mudflats/dawn_haze.png. Use only as paintover reference; do not import directly as a final background plate."
"mudflats_interactive_layer_road_to_the_salt_market","R01","mudflats","interactive_layer","road to the Salt Market","paintover","pending","art/src/backgrounds/act_i/interactive_layers/mudflats/saltmarketexit.psd","game/rooms/mudflats/props/saltmarketexit.png","Paint a separate interactive layer for Mudflats on Isla Mordida: road to the Salt Market, centered near 1765, 665. It must read at 1920x1080, align to the existing hotspot, and remain separable from the baked background because roles [custom_navigation] touch game logic. Transparent background, clean silhouette, palette-audited, no coordinate drift. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","merged into background only, moved hotspot center, decorative ambiguity, extra interactable-looking clutter, explicit sexual content, arterial red without approval","Source stays at art/src/backgrounds/act_i/interactive_layers/mudflats/saltmarketexit.psd; runtime export target is game/rooms/mudflats/props/saltmarketexit.png. Keep Godot hotspot metadata authoritative."
"old_quay_meshy_source_model_dock_pilings","R02","old_quay","meshy_source_model","dock pilings","Meshy","pending","art/src/backgrounds/act_i/source_models/old_quay/dock_pilings.glb","","Create a single reusable 3D source prop for The Old Quay on Isla Mordida: dock pilings. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/old_quay/dock_pilings.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
"old_quay_meshy_source_model_bollard_row","R02","old_quay","meshy_source_model","bollard row","Meshy","pending","art/src/backgrounds/act_i/source_models/old_quay/bollard_row.glb","","Create a single reusable 3D source prop for The Old Quay on Isla Mordida: bollard row. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/old_quay/bollard_row.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
"old_quay_meshy_source_model_rope_cleat","R02","old_quay","meshy_source_model","rope cleat","Meshy","pending","art/src/backgrounds/act_i/source_models/old_quay/rope_cleat.glb","","Create a single reusable 3D source prop for The Old Quay on Isla Mordida: rope cleat. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/old_quay/rope_cleat.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
