"batch_id","queue_status","batch_type","act","speaker","scratch_voice","scratch_voice_id","cast_status","location","knot","category","line_count","word_count","first_line_id","audio_path_count","generation_rule","block_reason"
"vo_batch_act_i_0001","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","","mudflats_wake","","3","21","vo_act_i_0001","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0002","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","mudflats","mudflats_silt","","3","24","vo_act_i_0004","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0003","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","mudflats","mudflats_hands","","4","21","vo_act_i_0007","4","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0004","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","mudflats","mudflats_harbor_view","","3","30","vo_act_i_0011","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0005","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","mudflats","mudflats_coat_wet","","4","19","vo_act_i_0014","4","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0006","scratch_ready","scene_speaker_run","Act I","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","scratch_cast","old_quay","old_quay_tomas","","15","132","vo_act_i_0019","15","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0007","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","old_quay","old_quay_tomas","","12","50","vo_act_i_0022","12","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0008","scratch_ready","scene_speaker_run","Act I","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","scratch_cast","","old_quay_equipment","","2","20","vo_act_i_0050","2","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0009","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","","old_quay_equipment","","1","2","vo_act_i_0051","1","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0010","scratch_ready","scene_speaker_run","Act I","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","scratch_cast","old_quay","old_quay_tomas_topics","","19","221","vo_act_i_0053","19","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0011","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","old_quay","old_quay_tomas_topics","","13","59","vo_act_i_0054","13","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0012","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","old_quay","old_quay_silent_bollards","","3","12","vo_act_i_0085","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0013","scratch_ready","scene_speaker_run","Act I","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","scratch_cast","old_quay","old_quay_silent_bollards","","2","6","vo_act_i_0087","2","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0014","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","old_quay","old_quay_bollard_petra","","2","4","vo_act_i_0090","2","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0015","scratch_ready","scene_speaker_run","Act I","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","scratch_cast","old_quay","old_quay_bollard_petra","","2","11","vo_act_i_0091","2","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0016","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","old_quay","old_quay_bollard_ledger","","2","12","vo_act_i_0094","2","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0017","scratch_ready","scene_speaker_run","Act I","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","scratch_cast","old_quay","old_quay_bollard_ledger","","2","22","vo_act_i_0095","2","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0018","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","old_quay","old_quay_bollard_bride","","2","6","vo_act_i_0098","2","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0019","scratch_ready","scene_speaker_run","Act I","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","scratch_cast","old_quay","old_quay_bollard_bride","","2","15","vo_act_i_0099","2","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0020","scratch_ready","scene_speaker_run","Act I","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","scratch_cast","old_quay","old_quay_bollards_all_seen","","3","21","vo_act_i_0102","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0021","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","old_quay","old_quay_bollards_all_seen","","2","14","vo_act_i_0103","2","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0022","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","old_quay","old_quay_flask","","3","9","vo_act_i_0107","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0023","scratch_ready","scene_speaker_run","Act I","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","scratch_cast","old_quay","old_quay_flask","","2","9","vo_act_i_0108","2","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0024","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","old_quay","old_quay_rope_cleat","","3","15","vo_act_i_0112","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0025","scratch_ready","scene_speaker_run","Act I","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","scratch_cast","old_quay","old_quay_rope_cleat","","2","12","vo_act_i_0113","2","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0026","blocked_pending_cast_decision","scene_speaker_run","Act I","BOOT_SELLER","","","needs_cast_decision","salt_market","salt_market_arrival","","1","2","vo_act_i_0117","1","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.","Speaker requires cast or consolidation decision before scratch generation."
"vo_batch_act_i_0027","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","salt_market","salt_market_arrival","","3","11","vo_act_i_0118","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0028","blocked_pending_cast_decision","scene_speaker_run","Act I","BOOT_SELLER","","","needs_cast_decision","salt_market","salt_market_public_recognition","","6","34","vo_act_i_0121","6","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.","Speaker requires cast or consolidation decision before scratch generation."
"vo_batch_act_i_0029","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","salt_market","salt_market_public_recognition","","10","51","vo_act_i_0122","10","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0030","blocked_pending_cast_decision","scene_speaker_run","Act I","WOMAN","","","needs_cast_decision","salt_market","salt_market_public_recognition","","2","4","vo_act_i_0135","2","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.","Speaker requires cast or consolidation decision before scratch generation."
"vo_batch_act_i_0031","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","salt_market","salt_market_boot_stall_after","","5","25","vo_act_i_0144","5","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0032","blocked_pending_cast_decision","scene_speaker_run","Act I","BOOT_SELLER","","","needs_cast_decision","salt_market","salt_market_boot_stall_after","","4","22","vo_act_i_0146","4","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.","Speaker requires cast or consolidation decision before scratch generation."
"vo_batch_act_i_0033","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","salt_market","salt_market_fishmonger","","5","29","vo_act_i_0153","5","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0034","blocked_pending_cast_decision","scene_speaker_run","Act I","MONGER","","","needs_cast_decision","salt_market","salt_market_fishmonger","","3","21","vo_act_i_0155","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.","Speaker requires cast or consolidation decision before scratch generation."
"vo_batch_act_i_0035","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","salt_market","salt_market_lamp","","6","21","vo_act_i_0161","6","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0036","scratch_ready","scene_speaker_run","Act I","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","scratch_cast","harbor_registry","registrar_duel_start","","12","94","vo_act_i_0167","12","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0037","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","harbor_registry","registrar_duel_start","","6","36","vo_act_i_0168","6","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0038","scratch_ready","scene_speaker_run","Act I","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","scratch_cast","harbor_registry","registrar_duel_win","","8","73","vo_act_i_0185","8","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0039","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","harbor_registry","registrar_duel_win","","3","22","vo_act_i_0186","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0040","scratch_ready","scene_speaker_run","Act I","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","scratch_cast","harbor_registry","registrar_duel_loss","","1","9","vo_act_i_0196","1","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0041","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","harbor_registry","registrar_duel_loss","","1","9","vo_act_i_0197","1","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0042","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","harbor_registry","registry_ledgers","","4","20","vo_act_i_0198","4","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0043","scratch_ready","scene_speaker_run","Act I","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","scratch_cast","harbor_registry","registry_ledgers","","3","18","vo_act_i_0200","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0044","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","harbor_registry","registry_roll_book","","4","29","vo_act_i_0205","4","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0045","scratch_ready","scene_speaker_run","Act I","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","scratch_cast","harbor_registry","registry_roll_book","","3","16","vo_act_i_0208","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0046","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","harbor_registry","registry_lamp_smoked","","3","11","vo_act_i_0213","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0047","scratch_ready","scene_speaker_run","Act I","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","scratch_cast","harbor_registry","registry_lamp_smoked","","3","21","vo_act_i_0214","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0048","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","harbor_registry","registry_ledger_blocked","","2","12","vo_act_i_0219","2","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0049","scratch_ready","scene_speaker_run","Act I","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","scratch_cast","harbor_registry","registry_ledger_blocked","","1","8","vo_act_i_0220","1","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0050","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","harbor_registry","registry_ledger_page","","4","23","vo_act_i_0222","4","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0051","scratch_ready","scene_speaker_run","Act I","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","scratch_cast","harbor_registry","registry_ledger_page","","3","27","vo_act_i_0225","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0052","scratch_ready","scene_speaker_run","Act I","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","scratch_cast","harbor_registry","registry_registrar_needs_manifest","","2","22","vo_act_i_0231","2","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0053","scratch_ready","scene_speaker_run","Act I","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","scratch_cast","harbor_registry","registry_registrar_needs_manifest","","1","4","vo_act_i_0232","1","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.",""
"vo_batch_act_i_0054","blocked_pending_cast_decision","scene_speaker_run","Act I","WOMAN","","","needs_cast_decision","salt_market","salt_market_confession_queue","","3","22","vo_act_i_0234","3","Generate as one speaker run in scene order with per-line tags; review full scene context before recording.","Speaker requires cast or consolidation decision before scratch generation."
