"id","room_code","room_id","name","source_path","content_status","generation_status","estimated_preview_credits","estimated_refine_credits","prompt","negative_prompt","output_contract"
"mudflats_meshy_source_model_bollard_silhouettes","R01","mudflats","bollard silhouettes","art/src/backgrounds/act_i/source_models/mudflats/bollard_silhouettes.glb","missing","blocked_no_meshy_key","20","10","Create a single reusable 3D source prop for Mudflats on Isla Mordida: bollard silhouettes. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/mudflats/bollard_silhouettes.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
"mudflats_meshy_source_model_distant_leviathan_ribs","R01","mudflats","distant leviathan ribs","art/src/backgrounds/act_i/source_models/mudflats/distant_leviathan_ribs.glb","missing","blocked_no_meshy_key","20","10","Create a single reusable 3D source prop for Mudflats on Isla Mordida: distant leviathan ribs. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/mudflats/distant_leviathan_ribs.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
"mudflats_meshy_source_model_mud_ridge_reference_forms","R01","mudflats","mud ridge reference forms","art/src/backgrounds/act_i/source_models/mudflats/mud_ridge_reference_forms.glb","missing","blocked_no_meshy_key","20","10","Create a single reusable 3D source prop for Mudflats on Isla Mordida: mud ridge reference forms. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/mudflats/mud_ridge_reference_forms.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
"old_quay_meshy_source_model_bollard_row","R02","old_quay","bollard row","art/src/backgrounds/act_i/source_models/old_quay/bollard_row.glb","missing","blocked_no_meshy_key","20","10","Create a single reusable 3D source prop for The Old Quay on Isla Mordida: bollard row. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/old_quay/bollard_row.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
"old_quay_meshy_source_model_dock_pilings","R02","old_quay","dock pilings","art/src/backgrounds/act_i/source_models/old_quay/dock_pilings.glb","missing","blocked_no_meshy_key","20","10","Create a single reusable 3D source prop for The Old Quay on Isla Mordida: dock pilings. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/old_quay/dock_pilings.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
"old_quay_meshy_source_model_harbor_rail_fragments","R02","old_quay","harbor rail fragments","art/src/backgrounds/act_i/source_models/old_quay/harbor_rail_fragments.glb","missing","blocked_no_meshy_key","20","10","Create a single reusable 3D source prop for The Old Quay on Isla Mordida: harbor rail fragments. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/old_quay/harbor_rail_fragments.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
"old_quay_meshy_source_model_rope_cleat","R02","old_quay","rope cleat","art/src/backgrounds/act_i/source_models/old_quay/rope_cleat.glb","missing","blocked_no_meshy_key","20","10","Create a single reusable 3D source prop for The Old Quay on Isla Mordida: rope cleat. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/old_quay/rope_cleat.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
"salt_market_meshy_source_model_boot_stall","R03","salt_market","boot stall","art/src/backgrounds/act_i/source_models/salt_market/boot_stall.glb","missing","blocked_no_meshy_key","20","10","Create a single reusable 3D source prop for Salt Market on Isla Mordida: boot stall. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/salt_market/boot_stall.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
"salt_market_meshy_source_model_crowd_silhouette_blockers","R03","salt_market","crowd silhouette blockers","art/src/backgrounds/act_i/source_models/salt_market/crowd_silhouette_blockers.glb","missing","blocked_no_meshy_key","20","10","Create a single reusable 3D source prop for Salt Market on Isla Mordida: crowd silhouette blockers. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/salt_market/crowd_silhouette_blockers.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
"salt_market_meshy_source_model_hanging_lamps","R03","salt_market","hanging lamps","art/src/backgrounds/act_i/source_models/salt_market/hanging_lamps.glb","missing","blocked_no_meshy_key","20","10","Create a single reusable 3D source prop for Salt Market on Isla Mordida: hanging lamps. Fixed-camera point-and-click adventure source asset, stylized 1740s occult harbor noir, strong silhouette, simple readable geometry, usable as Blender blockout/paintover reference, neutral grey material groups, no scene floor, no full room, no characters, no text labels. limited ink-and-wash noir palette: bone paper white #E4DCC8, wet black #0C1013, harbor slate #2A3A40, absinthe green #7D9B4E only for wrong light, whale-oil amber #C98A3C only for warmth, no arterial red unless explicitly approved.","whole room, complete environment, final background, camera blur, unreadable tiny detail, modern objects, extra characters, explicit sexual content, arterial red, photoreal gore","Download as GLB to art/src/backgrounds/act_i/source_models/salt_market/hanging_lamps.glb. Import into Blender only as helper geometry; final room art still comes from greybox plus paintover."
