"id","room_code","room_id","room_title","kind","name","route","status","purpose","source_path","runtime_path","critical_roles"
"sabine_office_return_generated_reference_cold_office_after_argument_lighting","R12","sabine_office_return","Sabine's Office, Return","generated_reference","cold office after-argument lighting","reference_board_only","pending","Generate or collect mood/material reference only; never import as a final room plate.","docs/art/reference/act_ii/sabine_office_return/cold_office_after_argument_lighting.png","","System.String[]"
"sabine_office_return_generated_reference_wet_footprints_on_persian_rug","R12","sabine_office_return","Sabine's Office, Return","generated_reference","wet footprints on Persian rug","reference_board_only","pending","Generate or collect mood/material reference only; never import as a final room plate.","docs/art/reference/act_ii/sabine_office_return/wet_footprints_on_persian_rug.png","","System.String[]"
"sabine_office_return_interactive_layer_cut_paper_on_desk","R12","sabine_office_return","Sabine's Office, Return","interactive_layer","cut paper on desk","separate_runtime_sprite_or_hotspot_layer","pending","Keep as a separate runtime prop or hotspot layer because logic, visibility, or inventory state can change it.","art/src/backgrounds/act_ii/interactive_layers/sabine_office_return/cut_paper_on_desk.psd","game/rooms/sabine_office_return/props/cut_paper_on_desk.png","System.String[]"
"sabine_office_return_interactive_layer_sabine_ledger_drawer","R12","sabine_office_return","Sabine's Office, Return","interactive_layer","Sabine ledger drawer","separate_runtime_sprite_or_hotspot_layer","pending","Keep as a separate runtime prop or hotspot layer because logic, visibility, or inventory state can change it.","art/src/backgrounds/act_ii/interactive_layers/sabine_office_return/sabine_ledger_drawer.psd","game/rooms/sabine_office_return/props/sabine_ledger_drawer.png","System.String[]"
"sabine_office_return_meshy_source_model_harbor_map_wall","R12","sabine_office_return","Sabine's Office, Return","meshy_source_model","harbor map wall","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/sabine_office_return/harbor_map_wall.glb","","System.String[]"
"sabine_office_return_meshy_source_model_sabine_desk_document_staging","R12","sabine_office_return","Sabine's Office, Return","meshy_source_model","Sabine desk document staging","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/sabine_office_return/sabine_desk_document_staging.glb","","System.String[]"
"sabine_office_return_meshy_source_model_window_rain_bars","R12","sabine_office_return","Sabine's Office, Return","meshy_source_model","window rain bars","source_model_helper_only","pending","Create or collect reusable 3D helper geometry for Blender blockout and paintover reference; never import directly as final room art.","art/src/backgrounds/act_ii/source_models/sabine_office_return/window_rain_bars.glb","","System.String[]"
"sabine_office_return_navigation_silhouette_door_corvin_walks_out_through","R12","sabine_office_return","Sabine's Office, Return","navigation_silhouette","door Corvin walks out through","painted_readability_plus_godot_hotspot","pending","Paint readable exits and depth cues while keeping Godot hotspot metadata authoritative.","art/src/backgrounds/act_ii/navigation_silhouettes/sabine_office_return/door_corvin_walks_out_through.psd","game/rooms/sabine_office_return/background/sabine_office_return_bg.png","System.String[]"
"kane_parlour_generated_reference_calcified_black_coral_material","R13","kane_parlour","Kane's Parlour","generated_reference","calcified black coral material","reference_board_only","pending","Generate or collect mood/material reference only; never import as a final room plate.","docs/art/reference/act_ii/kane_parlour/calcified_black_coral_material.png","","System.String[]"
"kane_parlour_generated_reference_green_wrong_light_reference","R13","kane_parlour","Kane's Parlour","generated_reference","green wrong-light reference","reference_board_only","pending","Generate or collect mood/material reference only; never import as a final room plate.","docs/art/reference/act_ii/kane_parlour/green_wrong_light_reference.png","","System.String[]"
"kane_parlour_generated_reference_noir_office_smoke_wash","R13","kane_parlour","Kane's Parlour","generated_reference","noir office smoke wash","reference_board_only","pending","Generate or collect mood/material reference only; never import as a final room plate.","docs/art/reference/act_ii/kane_parlour/noir_office_smoke_wash.png","","System.String[]"
"kane_parlour_interactive_layer_exit_door_handle","R13","kane_parlour","Kane's Parlour","interactive_layer","exit door handle","separate_runtime_sprite_or_hotspot_layer","pending","Keep as a separate runtime prop or hotspot layer because logic, visibility, or inventory state can change it.","art/src/backgrounds/act_ii/interactive_layers/kane_parlour/exit_door_handle.psd","game/rooms/kane_parlour/props/exit_door_handle.png","System.String[]"
"kane_parlour_interactive_layer_kane_s_wax_seal","R13","kane_parlour","Kane's Parlour","interactive_layer","Kane's wax seal","separate_runtime_sprite_or_hotspot_layer","pending","Keep as a separate runtime prop or hotspot layer because logic, visibility, or inventory state can change it.","art/src/backgrounds/act_ii/interactive_layers/kane_parlour/kane_s_wax_seal.psd","game/rooms/kane_parlour/props/kane_s_wax_seal.png","System.String[]"
"kane_parlour_interactive_layer_offer_chair","R13","kane_parlour","Kane's Parlour","interactive_layer","offer chair","separate_runtime_sprite_or_hotspot_layer","pending","Keep as a separate runtime prop or hotspot layer because logic, visibility, or inventory state can change it.","art/src/backgrounds/act_ii/interactive_layers/kane_parlour/offer_chair.psd","game/rooms/kane_parlour/props/offer_chair.png","System.String[]"
