"priority","variant","animation","direction","asset_kind","frames","fps","loop","status","relative_path","next_action"
"P0_polish_runtime_candidate","act_i_clean","idle","side_right","sheet_export","12","12","True","present","art/export/characters/corvin/act_i_clean/idle_side_right.png","Polish timing, foot contact, registration, and drip readability without replacing the accepted runtime bridge."
"P0_polish_runtime_candidate","act_i_clean","idle","side_right","godot_import","12","12","True","present","game/characters/corvin/sprites/act_i_clean/idle_side_right.png","Polish timing, foot contact, registration, and drip readability without replacing the accepted runtime bridge."
"P0_polish_runtime_candidate","act_i_clean","idle","side_left","sheet_export","12","12","True","present","art/export/characters/corvin/act_i_clean/idle_side_left.png","Polish timing, foot contact, registration, and drip readability without replacing the accepted runtime bridge."
"P0_polish_runtime_candidate","act_i_clean","idle","side_left","godot_import","12","12","True","present","game/characters/corvin/sprites/act_i_clean/idle_side_left.png","Polish timing, foot contact, registration, and drip readability without replacing the accepted runtime bridge."
"P0_polish_runtime_candidate","act_i_clean","walk","side_right","sheet_export","8","12","True","present","art/export/characters/corvin/act_i_clean/walk_side_right.png","Polish timing, foot contact, registration, and drip readability without replacing the accepted runtime bridge."
"P0_polish_runtime_candidate","act_i_clean","walk","side_right","godot_import","8","12","True","present","game/characters/corvin/sprites/act_i_clean/walk_side_right.png","Polish timing, foot contact, registration, and drip readability without replacing the accepted runtime bridge."
"P0_polish_runtime_candidate","act_i_clean","walk","side_left","sheet_export","8","12","True","present","art/export/characters/corvin/act_i_clean/walk_side_left.png","Polish timing, foot contact, registration, and drip readability without replacing the accepted runtime bridge."
"P0_polish_runtime_candidate","act_i_clean","walk","side_left","godot_import","8","12","True","present","game/characters/corvin/sprites/act_i_clean/walk_side_left.png","Polish timing, foot contact, registration, and drip readability without replacing the accepted runtime bridge."
"P1_side_action_present_pending_polish","act_i_clean","talk","side_right","sheet_export","6","12","True","present","art/export/characters/corvin/act_i_clean/talk_side_right.png","Run Godot animation registration and human polish review before treating the side action as final."
"P1_side_action_present_pending_polish","act_i_clean","talk","side_right","godot_import","6","12","True","present","game/characters/corvin/sprites/act_i_clean/talk_side_right.png","Run Godot animation registration and human polish review before treating the side action as final."
"P1_side_action_present_pending_polish","act_i_clean","talk","side_left","sheet_export","6","12","True","present","art/export/characters/corvin/act_i_clean/talk_side_left.png","Run Godot animation registration and human polish review before treating the side action as final."
"P1_side_action_present_pending_polish","act_i_clean","talk","side_left","godot_import","6","12","True","present","game/characters/corvin/sprites/act_i_clean/talk_side_left.png","Run Godot animation registration and human polish review before treating the side action as final."
"P1_side_action_present_pending_polish","act_i_clean","use","side_right","sheet_export","8","12","False","present","art/export/characters/corvin/act_i_clean/use_side_right.png","Run Godot animation registration and human polish review before treating the side action as final."
"P1_side_action_present_pending_polish","act_i_clean","use","side_right","godot_import","8","12","False","present","game/characters/corvin/sprites/act_i_clean/use_side_right.png","Run Godot animation registration and human polish review before treating the side action as final."
"P1_side_action_present_pending_polish","act_i_clean","use","side_left","sheet_export","8","12","False","present","art/export/characters/corvin/act_i_clean/use_side_left.png","Run Godot animation registration and human polish review before treating the side action as final."
"P1_side_action_present_pending_polish","act_i_clean","use","side_left","godot_import","8","12","False","present","game/characters/corvin/sprites/act_i_clean/use_side_left.png","Run Godot animation registration and human polish review before treating the side action as final."
"P1_side_action_present_pending_polish","act_i_clean","wet","side_right","sheet_export","8","12","False","present","art/export/characters/corvin/act_i_clean/wet_side_right.png","Run Godot animation registration and human polish review before treating the side action as final."
"P1_side_action_present_pending_polish","act_i_clean","wet","side_right","godot_import","8","12","False","present","game/characters/corvin/sprites/act_i_clean/wet_side_right.png","Run Godot animation registration and human polish review before treating the side action as final."
"P1_side_action_present_pending_polish","act_i_clean","wet","side_left","sheet_export","8","12","False","present","art/export/characters/corvin/act_i_clean/wet_side_left.png","Run Godot animation registration and human polish review before treating the side action as final."
"P1_side_action_present_pending_polish","act_i_clean","wet","side_left","godot_import","8","12","False","present","game/characters/corvin/sprites/act_i_clean/wet_side_left.png","Run Godot animation registration and human polish review before treating the side action as final."
